0, 0.398, 0, 0, 0.398, 
0.001, 0.397, 0, 0, 0.397, 
0.002, 0.396, 0, 0, 0.396, 
0.003, 0.395, 0, 0, 0.395, 
0.004, 0.394, 0, 0, 0.394, 
0.005, 0.393, 0, 0, 0.393, 
0.006, 0.392, 0, 0, 0.392, 
0.007, 0.391, 0, 0, 0.391, 
0.008, 0.39, 0, 0, 0.39, 
0.009, 0.389, 0, 0, 0.389, 
0.01, 0.388, 0, 0, 0.388, 
0.011, 0.387, 0, 0, 0.387, 
0.012, 0.386, 0, 0, 0.386, 
0.013, 0.385, 0, 0, 0.385, 
0.014, 0.384, 0, 0, 0.384, 
0.015, 0.383, 0, 0, 0.383, 
0.016, 0.382, 0, 0, 0.382, 
0.017, 0.381, 0, 0, 0.381, 
0.018, 0.38, 0, 0, 0.38, 
0.019, 0.379, 0, 0, 0.379, 
0.02, 0.378, 0, 0, 0.378, 
0.021, 0.377, 0, 0, 0.377, 
0.022, 0.376, 0, 0, 0.376, 
0.023, 0.375, 0, 0, 0.375, 
0.024, 0.374, 0, 0, 0.374, 
0.025, 0.373, 0, 0, 0.373, 
0.026, 0.372, 0, 0, 0.372, 
0.027, 0.371, 0, 0, 0.371, 
0.028, 0.37, 0, 0, 0.37, 
0.029, 0.369, 0, 0, 0.369, 
0.03, 0.368, 0, 0, 0.368, 
0.031, 0.367, 0, 0, 0.367, 
0.032, 0.366, 0, 0, 0.366, 
0.033, 0.365, 0, 0, 0.365, 
0.034, 0.364, 0, 0, 0.364, 
0.035, 0.363, 0, 0, 0.363, 
0.036, 0.362, 0, 0, 0.362, 
0.037, 0.361, 0, 0, 0.361, 
0.038, 0.36, 0, 0, 0.36, 
0.039, 0.359, 0, 0, 0.359, 
0.04, 0.358, 0, 0, 0.358, 
0.041, 0.357, 0, 0, 0.357, 
0.042, 0.356, 0, 0, 0.356, 
0.043, 0.355, 0, 0, 0.355, 
0.044, 0.354, 0, 0, 0.354, 
0.045, 0.353, 0, 0, 0.353, 
0.046, 0.352, 0, 0, 0.352, 
0.047, 0.351, 0, 0, 0.351, 
0.048, 0.35, 0, 0, 0.35, 
0.049, 0.349, 0, 0, 0.349, 
0.05, 0.348, 0, 0, 0.348, 
0.051, 0.347, 0, 0, 0.347, 
0.052, 0.346, 0, 0, 0.346, 
0.053, 0.345, 0, 0, 0.345, 
0.054, 0.344, 0, 0, 0.344, 
0.055, 0.343, 0, 0, 0.343, 
0.056, 0.342, 0, 0, 0.342, 
0.057, 0.341, 0, 0, 0.341, 
0.058, 0.34, 0, 0, 0.34, 
0.059, 0.339, 0, 0, 0.339, 
0.06, 0.338, 0, 0, 0.338, 
0.061, 0.337, 0, 0, 0.337, 
0.062, 0.336, 0, 0, 0.336, 
0.063, 0.335, 0, 0, 0.335, 
0.064, 0.334, 0, 0, 0.334, 
